SEN,1,0,0:27285,24517,28829,25610,23922,28521,28649,26884,24787,23649,24095
SEN,1,0,1:25610,21505,24456,23323,22576,25086,22793,24615,25977,29120,28706
SEN,1,0,2:26338,26283,27793,23500,28860,28795,26354,26587,29111,22363,27032
SEN,1,0,3:27290,24263,26502,27289,27611,28383,23142,22847,25278,27679,23016
SEN,1,0,4:24785,28026,26107,21930,21985,28030,25800,22860,25282,24230,26839
SEN,1,0,5:25668,22694,27152,26556,21846,23329,28760,24387,23473,25214,24915
SEN,1,0,6:28903,27752,25204,21699,29745,28867,21692,23255,22164,22418,24527
SEN,1,0,7:29909,25886,25691,29370,27470,28169,28376,23197,24019,29118,28044
SEN,1,0,8:22990,26431,22850,23864,25483,22061,25561,28444,28972,25406,24576
SEN,1,0,9:23583,27384,25733,25845,27565,22389,21699,21337,26017,21679,21502
SEN,2,0,0:29888,29422,27573,24563,29607,24151,23479,28715,21602,23751,29310
SEN,2,0,1:24859,27111,29554,22666,24752,21390,23939,26606,26823,27527,26520
SEN,2,0,2:21802,29646,24652,28445,22812,23032,25658,25208,29809,22307,25131
SEN,2,0,3:24421,23355,29904,25446,29963,23694,29902,29489,29079,22464,29287
SEN,2,0,4:29782,24684,26069,23089,23546,29550,27206,27895,25993,22853,26602
SEN,2,0,5:26563,29660,25536,23848,24660,29262,21802,27700,23742,21561,27586
SEN,2,0,6:22007,29162,21666,27540,28053,29096,23185,22249,25582,29361,23913
SEN,2,0,7:27760,23439,22898,24628,21920,25318,21435,21547,26716,24939,23757
SEN,2,0,8:24538,21533,21905,24118,27401,24230,25672,22540,22927,29498,22718
SEN,2,0,9:29311,29296,28881,27041,22770,27115,22050,27388,23760,21903,28882
SEN,3,0,0:25042,28485,28606,26000,22773,29215,22401,27882,28974,28679,24750
SEN,3,0,1:22888,24538,27672,25827,28450,28419,26712,26840,23029,22303,25872
SEN,3,0,2:22332,26945,26554,26216,24827,29883,24327,29345,23515,25137,23885
SEN,3,0,3:22351,26980,26927,23851,25521,24070,21297,23905,21289,25922,25224
SEN,3,0,4:21579,23945,22258,25451,24794,27586,29985,25689,27940,21361,24247
SEN,3,0,5:24049,25000,22450,25417,25408,27066,26251,21521,25503,24915,22259
SEN,3,0,6:24615,22883,24564,22431,25272,21496,21716,24732,23767,29563,22383
SEN,3,0,7:27820,22908,24053,24128,24860,29780,25543,25366,22387,22717,26163
SEN,3,0,8:23168,24321,28003,29123,21872,29129,29321,21484,24660,21335,26384
SEN,3,0,9:28536,25583,28990,23474,21654,25883,27828,25399,29929,26603,28075
SEN,4,0,0:24092,27871,22369,25785,27197,26736,25078,25403,22627,23757,28717
SEN,4,0,1:25062,28126,25715,26835,23582,27637,25527,27555,28418,22763,24187
SEN,4,0,2:28651,27244,25279,26457,27946,21417,22502,29777,21707,23486,21719
SEN,4,0,3:25092,22934,21494,24799,22589,24554,26656,25380,22549,25070,28967
SEN,4,0,4:29534,22072,28119,23317,22802,22606,25294,21642,26548,25214,28727
SEN,4,0,5:24249,26563,27380,25584,23912,27629,24239,21399,21490,24126,24729
SEN,4,0,6:24064,22042,25517,29238,28613,29440,27938,22695,22396,24791,28425
SEN,4,0,7:26695,25340,24675,25012,28841,26413,25591,27769,21627,28528,26079
SEN,4,0,8:27720,29778,25426,23099,29915,22222,21586,27630,27803,24557,28433
SEN,4,0,9:28538,29414,26299,22782,28298,22170,25531,22861,25848,25051,23932
