SEN,1,0,0:24678,29741,23991,25483,22106,29316,29930,27215,26799,23804
SEN,1,0,1:26465,24317,24535,25845,21308,24408,24041,25172,29095,26323
SEN,1,0,2:22684,28484,21251,26255,28785,29794,23747,22384,26542,22031
SEN,1,0,3:22214,26631,21711,23300,21735,22243,24492,23270,24577,29269
SEN,1,0,4:25138,23128,25880,29118,27253,21434,24764,21725,24431,25137
SEN,1,0,5:27127,27955,27210,25051,29682,25956,29964,25335,25163,25761
SEN,1,0,6:26214,23225,29418,24256,23240,28130,22277,23722,28707,26148
SEN,1,0,7:21767,24695,21867,26794,27432,21276,28715,22070,26903,26155
SEN,1,0,8:21856,26816,22970,25787,23431,24948,22280,23062,27062,21324
SEN,1,0,9:29304,27310,21345,28166,27871,26939,27048,29387,29635,28685
SEN,2,0,0:25631,29216,24062,23630,28141,29646,22696,28771,26551,21792
SEN,2,0,1:27571,22178,26351,27427,27200,26184,21364,26708,21385,26688
SEN,2,0,2:22226,26334,23420,28184,25089,23534,29315,28646,24205,25474
SEN,2,0,3:26284,24874,25385,26426,22941,27478,24021,23380,29487,25454
SEN,2,0,4:25496,24626,26395,27735,26591,22421,25424,25239,27959,28830
SEN,2,0,5:23033,29900,22663,25698,29731,25713,24455,22026,27400,28543
SEN,2,0,6:21843,25880,28971,24385,24851,25242,28029,22246,29829,27664
SEN,2,0,7:22871,25371,22666,28900,26801,29412,25981,26972,25259,22314
SEN,2,0,8:24070,24190,25598,28404,25237,29980,24503,25193,26375,24223
SEN,2,0,9:26178,21905,24522,24241,24016,23772,26994,28571,25467,23199
SEN,3,0,0:21895,28743,25890,27716,24502,25335,25322,24493,26973,26395
SEN,3,0,1:29377,24061,21386,23697,26019,26079,24101,28078,27496,21963
SEN,3,0,2:21337,21453,26052,26567,28764,24992,28532,24019,23574,22954
SEN,3,0,3:26877,24432,25278,27520,28538,28878,28164,21425,25530,26800
SEN,3,0,4:29102,23639,21918,21734,29947,24147,25903,27826,24955,26066
SEN,3,0,5:24419,23909,26696,24821,22950,27820,28809,24843,22769,24409
SEN,3,0,6:22952,27653,24499,27270,26637,28862,24212,27797,22642,25519
SEN,3,0,7:29057,23399,28806,23184,24159,29470,22865,23825,27288,26712
SEN,3,0,8:21887,25893,27382,26757,26365,24028,23386,22200,24656,24666
SEN,3,0,9:28771,28574,22356,28983,23391,29719,28967,21272,22767,29712
SEN,4,0,0:23648,22066,22296,26623,21995,27785,29839,22536,26837,22394
SEN,4,0,1:28919,26291,22034,28851,27579,22363,21939,23860,28212,26536
SEN,4,0,2:27589,23552,26950,27913,24131,29627,27004,29889,24679,21321
SEN,4,0,3:27622,23782,22911,25464,29073,23400,22727,28718,23343,23446
SEN,4,0,4:22439,21868,22628,27935,27975,24885,24748,23571,27248,22630
SEN,4,0,5:24067,29715,24428,29928,29050,23593,21504,25162,29937,26716
SEN,4,0,6:28419,22903,23382,22930,25386,26924,25476,22771,22096,26506
SEN,4,0,7:28309,24441,27828,24088,25962,27816,22458,28937,29836,21551
SEN,4,0,8:21612,22932,29356,24996,23499,25980,26486,27302,25401,27635
